iter	Passed	Remaining
0	1	123
1	2	137
2	3	122
3	4	108
4	5	104
5	6	98
6	7	95
7	8	96
8	9	93
9	10	91
10	11	89
11	12	88
12	13	87
13	14	87
14	15	87
15	16	87
16	17	85
17	18	85
18	19	84
19	20	83
20	21	81
21	22	80
22	23	78
23	24	76
24	25	75
25	25	73
26	26	72
27	27	71
28	28	69
29	29	67
30	29	66
31	30	64
32	31	63
33	31	61
34	32	60
35	33	59
36	33	57
37	34	56
38	35	55
39	36	54
40	36	52
41	36	51
42	37	49
43	38	48
44	39	48
45	40	47
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	51	32
61	52	32
62	52	31
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	80	0
